audiofile,survey_file_name,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh,titi_over_thresh_and_howler_under_thresh,titi_over_thresh_and_over_howler,PrimateSpecies,CallDistance
HARPIA_20130210_054500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/10 feb 2013/HARPIA_20130210_054500.wav",1.055,-2.1066666666666665,-1.8239999999999998,3.2750000000000004,2.28,0.688,0,0,0,1,4
HARPIA_20130210_060000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/10 feb 2013/HARPIA_20130210_060000.wav",2.1799999999999997,-1.97,-3.1999999999999997,4.545,2.52,-0.624,0,0,0,0,NA
HARPIA_20130210_061500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/10 feb 2013/HARPIA_20130210_061500.wav",1.2149999999999999,-3.0733333333333333,-6.258,7.285,3.3400000000000003,-1.718,0,0,0,2,4
HARPIA_20130210_063000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/10 feb 2013/HARPIA_20130210_063000.wav",1.21,-2.3833333333333333,-5.652,5.125,2.6799999999999997,-2.748,0,0,0,0,NA
HARPIA_20130210_064500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/10 feb 2013/HARPIA_20130210_064500.wav",-6.404999999999999,-3.126666666666667,-5.376,4.685,7.323333333333333,1.34,0,0,0,0,NA
HARPIA_20130210_070000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/10 feb 2013/HARPIA_20130210_070000.wav",0.30500000000000005,-2.39,-3.424,3.13,3.46,-0.396,0,0,0,0,NA
HARPIA_20130210_071500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/10 feb 2013/HARPIA_20130210_071500.wav",-0.16000000000000003,-2.4233333333333333,-5.184,3.145,2.9166666666666665,1.316,0,0,0,0,NA
HARPIA_20130210_073000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/10 feb 2013/HARPIA_20130210_073000.wav",-1.7149999999999999,-4.01,-2.93,3.005,4.786666666666667,4.868,1,1,1,0,NA
HARPIA_20130210_074500.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/10 feb 2013/HARPIA_20130210_074500.wav",-0.195,-2.7933333333333334,-2.878,2.755,4.58,2.43,0,0,0,0,NA
HARPIA_20130210_080000.wav,"E:/For Sun - Full test dataset/Harpia 2013/7,400/10 feb 2013/HARPIA_20130210_080000.wav",0.705,-2.17,-5.466,3.15,2.7199999999999998,-0.282,0,0,0,0,NA
HARPIA_20130211_054500.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/11 feb 2013/HARPIA_20130211_054500.wav",-0.905,-1.96,-1.008,2.135,2.04,0.862,0,0,0,0,NA
HARPIA_20130211_060000.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/11 feb 2013/HARPIA_20130211_060000.wav",-0.98,-2.02,-1.326,2.87,2.06,0.9400000000000001,0,0,0,0,NA
HARPIA_20130211_061500.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/11 feb 2013/HARPIA_20130211_061500.wav",-0.86,-1.93,-1.158,1.135,2.0433333333333334,0.84,0,0,0,0,NA
HARPIA_20130211_063000.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/11 feb 2013/HARPIA_20130211_063000.wav",-1.04,-1.97,-0.998,1.725,2.243333333333333,0.892,0,0,0,0,NA
HARPIA_20130211_064500.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/11 feb 2013/HARPIA_20130211_064500.wav",-0.99,-1.8566666666666667,-1.326,0.765,2.1,0.91,0,0,0,0,NA
HARPIA_20130211_070000.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/11 feb 2013/HARPIA_20130211_070000.wav",-0.915,-1.9666666666666666,-0.552,1.25,2.1133333333333333,0.866,0,0,0,0,NA
HARPIA_20130211_071500.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/11 feb 2013/HARPIA_20130211_071500.wav",-1.2,-2.09,-1.242,1.125,2.5966666666666667,0.736,0,0,0,0,NA
HARPIA_20130211_073000.wav,"E:/For Sun - Full test dataset/Harpia 2013/8,600/11 feb 2013/HARPIA_20130211_073000.wav",-0.87,-2.13,-1.704,1.345,2.1866666666666665,0.806,0,0,0,0,NA
