audiofile,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh_and_over_howler_spider,PrimateSpecies,CallDistance
HARPIA_20130221_080000.wav,-1.53,-2.56,-0.842,0.335,2.536666667,1.39,0,0,NA
HARPIA_20130222_060000.wav,-1.465,-2.93,-1.496,0.955,5.683333333,1.665,0,0,NA
HARPIA_20130222_061500.wav,-0.74,-2.253333333,-1.226,1.235,2.373333333,0.652,0,0,NA
HARPIA_20130222_063000.wav,-0.785,-2.05,-1.039,1.395,2.183333333,0.859,0,0,NA
HARPIA_20130222_064500.wav,-1.51,-2.013333333,-0.772,0.81,3.08,1.53,0,0,NA
HARPIA_20130222_070000.wav,-1.06,-2.283333333,-0.801,0.885,2.746666667,1.252,0,0,NA
HARPIA_20130222_071500.wav,-1.3,-2.07,-0.846,0.875,2.323333333,1.296,0,0,NA
HARPIA_20130222_073000.wav,-1.38,-2.833333333,-1.736,3.63,2.73,1.483,0,0,NA
HARPIA_20130222_074500.wav,-1.94,-2.033333333,-1.246,0.935,2.98,1.761,0,0,NA
HARPIA_20130222_080000.wav,-3.83,-3.3,-1.71,1.465,5.626666667,2.929,0,0,NA
HARPIA_20130223_054500.wav,-4.485,-1.703333333,0.19,-1.915,3.516666667,2.792,0,0,NA
HARPIA_20130223_060000.wav,-1.68,-2.66,-1.446,3.135,4.343333333,2.052,0,0,NA
HARPIA_20130223_061500.wav,0.055,-2.24,-2.376,4.735,2.376666667,0.556,0,0,NA
HARPIA_20130223_063000.wav,-0.91,-2.11,-1.765,2.255,3.04,0.887,0,0,NA
HARPIA_20130223_064500.wav,-0.785,-2.393333333,-1.374,2.6,2.66,1.63,0,0,NA
HARPIA_20130223_070000.wav,-1.56,-1.766666667,-0.47,0.285,2.07,1.156,0,0,NA
HARPIA_20130223_071500.wav,-2.26,-1.98,-0.629,0.515,3.033333333,1.328,0,0,NA
HARPIA_20130223_073000.wav,-1.54,-2.023333333,-0.454,0.035,2.063333333,1.101,0,0,NA
HARPIA_20130223_074500.wav,-1.45,-2.16,-0.535,0.25,2.133333333,1.15,0,0,NA
HARPIA_20130223_080000.wav,-1.46,-1.96,-0.589,0.41,3.046666667,1.287,0,0,NA
HARPIA_20130224_054500.wav,-1.62,-1.913333333,-0.381,-0.055,1.97,1.153,0,0,NA
HARPIA_20130224_060000.wav,-1.625,-1.84,-0.4,-0.22,1.943333333,1.035,0,0,NA
HARPIA_20130224_061500.wav,-1.58,-1.9,-0.421,-0.21,1.973333333,1.08,0,0,NA
HARPIA_20130224_063000.wav,-1.465,-1.903333333,-0.441,-0.115,2.046666667,1.026,0,0,NA
HARPIA_20130224_064500.wav,-1.735,-2.166666667,-0.53,-0.045,2.2,1.118,0,0,NA
HARPIA_20130224_070000.wav,-1.53,-1.95,-0.579,0.61,2.033333333,1.016,0,0,NA
HARPIA_20130224_071500.wav,-1.445,-2.013333333,-0.575,0.245,2.063333333,1.045,0,0,NA
HARPIA_20130224_073000.wav,-1.475,-2.04,-0.886,1.095,2.5,1.048,0,0,NA
HARPIA_20130224_074500.wav,-1.495,-2.03,-1.029,1.61,2.21,0.903,0,0,NA
HARPIA_20130224_080000.wav,-3.41,-3.186666667,-1.212,0.935,3.17,2.236,0,0,NA
HARPIA_20130225_054500.wav,-0.34,-2.9,-2.226,3.04,3.973333333,1.353,0,0,NA
HARPIA_20130225_060000.wav,0.46,-3.966666667,-4.478,7.2,5.413333333,1.539,0,0,NA
HARPIA_20130225_063000.wav,-0.91,-2.283333333,-1.36,1.355,2.983333333,1.004,0,0,NA
