audiofile,survey_file_name,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,AutomatedDetection_titi_over_thresh_and_over_howler,ManualDetectionPrimateSpecies,CallDistance,low_freq_signal,high_freq_signal,start_signal,end_signal,inband_power_signal,low_freq_noise,high_freq_noise,start_noise,end_noise,inband_power_noise,Comments
PUMA_20130305_074500.wav,"E:/For Sun - Full test dataset/Puma 2013/-3,200/5 march 2013/PUMA_20130305_074500.wav",0.545,-1.693333333,-0.93,1.84,1.496666667,0.142,0,1,4,,,,,,,,,,,
PUMA_20140205_064500.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/5 feb 2014/PUMA_20140205_064500.wav",-1.17,-3.42,-2.786,7.945,5.296666667,2.812,0,1,4,,,,,,,,,,,
PUMA_20140205_071500.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/5 feb 2014/PUMA_20140205_071500.wav",-1.455,-3.306666667,-1.894,4.375,6.133333333,3.06,0,1,4,,,,,,,,,,,
PUMA_20140205_073000.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/5 feb 2014/PUMA_20140205_073000.wav",0.33,-3.536666667,-2.038,4.35,5.773333333,2.516,0,1,4,,,,,,,,,,,
PUMA_20140205_074500.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/5 feb 2014/PUMA_20140205_074500.wav",-0.51,-3.98,-2.204,4.595,5.33,2.64,0,1,4,,,,,,,,,,,
PUMA_20140205_080000.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/5 feb 2014/PUMA_20140205_080000.wav",2.22,-2.99,-2.968,6.425,3.933333333,0.104,0,1,4,,,,,,,,,,,
PUMA_20140206_071500.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/6 Feb 2014/PUMA_20140206_071500.wav",1.36,-3.75,-2.174,5.54,5.84,0.944,0,1,4,,,,,,,,,,,
PUMA_20140207_063000.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/7 feb 2014/PUMA_20140207_063000.wav",1.61,-3.64,-2.314,5.21,6.51,1.984,0,1,4,,,,,,,,,,,
PUMA_20140207_064500.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/7 feb 2014/PUMA_20140207_064500.wav",0.025,-4.076666667,-2.544,4.625,8.67,2.858,0,1,4,,,,,,,,,,,
PUMA_20140207_071500.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/7 feb 2014/PUMA_20140207_071500.wav",-2.56,-4.106666667,-2.63,4.9,7.656666667,3.846,0,1,4,,,,,,,,,,,
PUMA_20140207_080000.wav,"E:/For Sun - Full test dataset/Puma 2014/6, 0/7 feb 2014/PUMA_20140207_080000.wav",0.885,-4.136666667,-2.37,5.005,7.046666667,2.33,0,1,4,,,,,,,,,,,
PUMA_20140209_070000.wav,"E:/For Sun - Full test dataset/Puma 2014/-1, 200/9 feb 2014/PUMA_20140209_070000.wav",-1.755,-3.956666667,-1.614,2.445,5.563333333,3.206,0,1,4,,,,,,,,,,,
PUMA_20150208_070000.wav,"E:/For Sun - Full test dataset/Puma 2015/2, 0/8 feb 2015/PUMA_20150208_070000.wav",-6.245,-3.723333333,-2.206,3.45,8.796666667,5.552,1,1,4,,,,,,,,,,,
PUMA_20150208_071500.wav,"E:/For Sun - Full test dataset/Puma 2015/2, 0/8 feb 2015/PUMA_20150208_071500.wav",-2.28,-4.136666667,-1.934,3.9,4.833333333,2.19,0,1,4,,,,,,,,,,,
PUMA_20150208_073000.wav,"E:/For Sun - Full test dataset/Puma 2015/2, 0/8 feb 2015/PUMA_20150208_073000.wav",-1.99,-3.943333333,-4.322,4.145,5.82,1.25,0,1,4,,,,,,,,,,,
PUMA_20150208_074500.wav,"E:/For Sun - Full test dataset/Puma 2015/2, 0/8 feb 2015/PUMA_20150208_074500.wav",-1.965,-3.656666667,-3.996,3.56,4.27,0.948,0,1,4,,,,,,,,,,,
PUMA_20150208_080000.wav,"E:/For Sun - Full test dataset/Puma 2015/2, 0/8 feb 2015/PUMA_20150208_080000.wav",-0.89,-3.353333333,-2.524,5.595,4.523333333,1.038,0,1,4,,,,,,,,,,,
PUMA_20150212_063000.wav,"E:/For Sun - Full test dataset/Puma 2015/1, 200/12 feb 2015/PUMA_20150212_063000.wav",-3.495,-3.663333333,-2.352,2.54,7.533333333,4.088,1,1,4,,,,,,,,,,,
PUMA_20170213_071500.wav,"E:/For Sun - Full test dataset/Puma 2017/4, 0/13 feb/PUMA_20170213_071500.wav",1.39,-3.41,-3.452,5.815,5.053333333,2.634,0,1,4,,,,,,,,,,,
PUMA_20170213_073000.wav,"E:/For Sun - Full test dataset/Puma 2017/4, 0/13 feb/PUMA_20170213_073000.wav",0.46,-2.656666667,-3.37,4.84,5.11,2.45,0,1,4,,,,,,,,,,,
