audiofile,min.avg_H,min.avg_S,min.avg_T,max.avg_H,max.avg_S,max.avg_T,titi_over_thresh,titi_over_thresh_and_howler_under_thresh,titi_over_thresh_and_over_howler,PrimateSpecies_dist_1-4,PrimateSpecies_dist_1-3,CallDistance
PUMA_20130302_060000.wav,-2.335,-10.42666667,-5.562857143,6.19,12.24,4.452857143,1,0,0,3,0,4
HARPIA_20160204_061500.wav,-1.63,-3.513333333,-2.865714286,6.18,4.146666667,0.474285714,0,0,0,2,2,4
HARPIA_20150212_060000.wav,-0.195,-3.993333333,-2.145714286,6.155,5.03,2.175714286,0,0,0,2,2,4
HARPIA_20140206_063000.wav,1.33,-2.65,-2.474285714,6.15,2.68,0.864285714,0,0,0,2,2,4
HARPIA_20170212_070000.wav,0.245,-5.856666667,-4.018571429,6.125,4.96,1.194285714,0,0,0,2,2,4
HARPIA_20140212_061500.wav,0.615,-2.416666667,-2.998571429,6.105,2.676666667,1.047142857,0,0,0,2,2,3
PUMA_20160223_060000.wav,2.11,-3.126666667,-2.491428571,6.06,3.873333333,2.125714286,0,0,0,3,0,4
PUMA_20140205_061500.wav,2.375,-2.743333333,-2.007142857,5.995,3.79,0.89,0,0,0,2,2,4
HARPIA_20130209_054500.wav,-0.305,-2.096666667,-3.27,5.96,1.873333333,-0.205714286,0,0,0,0,0,NA
HARPIA_20160203_060000.wav,1.82,-2.87,-2.812857143,5.96,1.953333333,-0.44,0,0,0,2,2,4
HARPIA_20150217_063000.wav,0.86,-2.506666667,-2.492857143,5.955,3.736666667,0.125714286,0,0,0,2,2,3
HARPIA_20140213_080000.wav,-0.015,-2.956666667,-2.674285714,5.94,4.016666667,2.137142857,0,0,0,0,0,NA
PUMA_20140207_060000.wav,3.43,-2.593333333,-2.332857143,5.9,3.2,-0.134285714,0,0,0,0,0,4
HARPIA_20170217_060000.wav,1.025,-2.526666667,-1.518571429,5.89,3.536666667,0.62,0,0,0,2,2,3
HARPIA_20130215_061500.wav,-0.395,-3.683333333,-2.732857143,5.885,11.85666667,2.711428571,0,0,0,2,2,4
HARPIA_20140217_061500.wav,-0.495,-3.966666667,-2.838571429,5.855,4.883333333,2.245714286,0,0,0,0,0,NA
HARPIA_20150214_061500.wav,0.32,-3.01,-3.457142857,5.835,2.933333333,1.112857143,0,0,0,2,2,4
PUMA_20170213_071500.wav,1.39,-3.41,-3.252857143,5.815,5.053333333,2.708571429,0,0,0,1,0,4
HARPIA_20160204_080000.wav,-2.745,-3.976666667,-3.31,5.805,3.843333333,0.984285714,0,0,0,0,0,NA
HARPIA_20140208_060000.wav,-1.615,-3.316666667,-1.81,5.785,2.626666667,1.267142857,0,0,0,2,2,2
HARPIA_20130208_061500.wav,1.42,-2.476666667,-4.902857143,5.735,4.303333333,-0.138571429,0,0,0,0,0,NA
HARPIA_20130213_060000.wav,1.49,-2.936666667,-3.224285714,5.7,6.473333333,0.385714286,0,0,0,2,2,4
PUMA_20150214_073000.wav,1.71,-2.633333333,-2.31,5.695,2.973333333,-0.022857143,0,0,0,2,2,4
PUMA_20140206_064500.wav,0.06,-4.863333333,-2.047142857,5.685,7.906666667,5.197142857,1,0,0,1,1,3
PUMA_20150216_063000.wav,-4.055,-6.386666667,-3.682857143,5.655,12.52,5.668571429,1,0,1,2,2,4
HARPIA_20140206_061500.wav,1.79,-2.983333333,-2.278571429,5.65,2.863333333,0.38,0,0,0,2,2,3
PUMA_20140206_070000.wav,1.015,-4.516666667,-2.045714286,5.635,8.29,2.644285714,0,0,0,0,0,NA
PUMA_20170213_054500.wav,1.83,-2.84,-2.674285714,5.635,3.583333333,-0.05,0,0,0,2,2,4
HARPIA_20150214_060000.wav,1.765,-2.796666667,-2.771428571,5.63,2.593333333,0.82,0,0,0,2,2,4
PUMA_20150208_080000.wav,-0.89,-3.353333333,-2.488571429,5.595,4.523333333,1.491428571,0,0,0,1,0,4
PUMA_20140206_071500.wav,1.36,-3.75,-2.055714286,5.54,5.84,1.492857143,0,0,0,1,0,4
HARPIA_20150208_074500.wav,-2.345,-4.246666667,-2.528571429,5.52,6.063333333,2.098571429,0,0,0,0,0,NA
PUMA_20150208_060000.wav,1.81,-2.613333333,-3.092857143,5.5,3.903333333,0.255714286,0,0,0,2,2,4
PUMA_20160223_061500.wav,-1.36,-2.696666667,-3.568571429,5.495,6.606666667,4.808571429,1,0,0,0,0,NA
PUMA_20130302_064500.wav,-0.13,-8.983333333,-5,5.46,9.586666667,3.78,0,0,0,1,0,4
HARPIA_20140206_073000.wav,-0.435,-2.373333333,-1.751428571,5.46,2.556666667,1.451428571,0,0,0,2,2,2
HARPIA_20150213_060000.wav,-0.61,-4.193333333,-3.42,5.455,6.21,0.871428571,0,0,0,2,2,4
HARPIA_20150218_064500.wav,-2.695,-4.596666667,-2.961428571,5.43,6.103333333,3.415714286,0,0,0,2,2,4
PUMA_20140207_074500.wav,-3.6,-8.17,-2.821428571,5.425,10.98,9.872857143,1,0,1,1,1,2
HARPIA_20140205_080000.wav,1.36,-3.743333333,-2.742857143,5.41,3.3,0.348571429,0,0,0,0,0,NA
HARPIA_20150218_080000.wav,-3.795,-4.44,-3.52,5.4,8.873333333,2.347142857,0,0,0,0,0,NA
PUMA_20140214_060000.wav,2.695,-2.04,-1.937142857,5.4,1.41,-0.281428571,0,0,0,2,2,4
HARPIA_20160129_061500.wav,1.535,-2.6,-3.371428571,5.36,5.363333333,0.467142857,0,0,0,2,2,4
HARPIA_20150217_061500.wav,0.81,-2.31,-2.88,5.35,2.686666667,-0.028571429,0,0,0,3,0,4
HARPIA_20140205_071500.wav,2.245,-2.426666667,-2.75,5.315,2.66,0.062857143,0,0,0,0,0,NA
HARPIA_20140209_074500.wav,-1.45,-3.76,-2.502857143,5.3,5.716666667,2.12,0,0,0,2,2,3
PUMA_20170224_073000.wav,0.705,-3.09,-2.812857143,5.29,6.293333333,0.39,0,0,0,0,0,NA
PUMA_20150218_060000.wav,2.18,-2.413333333,-3.321428571,5.28,2.486666667,0.022857143,0,0,0,0,0,NA
HARPIA_20170224_060000.wav,-0.425,-3.543333333,-2.682857143,5.28,8.73,3.854285714,0,0,0,2,2,4
PUMA_20160223_054500.wav,-0.9,-4.376666667,-3.034285714,5.28,5.076666667,2.042857143,0,0,0,2,2,4
HARPIA_20140209_073000.wav,-0.17,-2.676666667,-2.365714286,5.27,3.756666667,0.73,0,0,0,2,2,3
HARPIA_20140206_070000.wav,0.33,-2.94,-3.591428571,5.25,2.75,1.974285714,0,0,0,0,0,NA
PUMA_20140206_054500.wav,1.06,-3.033333333,-2.714285714,5.245,4.036666667,1.257142857,0,0,0,3,0,4
HARPIA_20140212_060000.wav,-0.235,-2.453333333,-1.28,5.24,3.333333333,1.1,0,0,0,2,2,3
PUMA_20140214_061500.wav,1.74,-2.016666667,-3.334285714,5.23,1.453333333,0.038571429,0,0,0,0,0,NA
HARPIA_20140207_064500.wav,-0.615,-3.536666667,-2.464285714,5.225,3.683333333,3.175714286,0,0,0,0,0,NA
