Row Labels,Average of max.score,,,,,,,,,,,,,,
F0b,1.406378287,,,,,,,,,,,,,,
Howler,1.51693617,,,,,Template,Species,Distance 1 averave max.score,Distance 2 averave max.score,Distance 3 averave max.score,Distance 4 averave max.score,,,,
Titi/Howler,2.688684211,,,,,,,,,,,,,,
2,12.03,,,,,,,,,,,,,,
3,4.2975,,,,,,,,,,,,,,
4,1.90375,,,,,,,,,,,,,,
F9b,3.956089907,,,,,,,,,,,,,,
Howler,4.34012766,,,,,,,,,,,,,,
1,8.80125,,,,,,,,,,,,,,
2,4.4244,,,,,,,,,,,,,,
3,4.029807692,,,,,,,,,,,,,,
4,4.122993197,,,,,,,,,,,,,,
(blank),7.76,,,,,,,,,,,,,,
None,3.646651109,,,,,,,,,,,,,,
4,2.73,,,,,,,,,,,,,,
(blank),3.647721963,,,,,,,,,,,,,,
Titi,6.005294118,,,,,,,,,,,,,,
2,9.476666667,,,,,,,,,,,,,,
3,7.04375,,,,,,,,,,,,,,
4,5.453673469,,,,,,,,,,,,,,
Titi/Howler,5.829473684,,,,,,,,,,,,,,
2,8.7,,,,,,,,,,,,,,
3,6.65,,,,,,,,,,,,,,
4,5.5475,,,,,,,,,,,,,,
Grand Total,2.035536896,,,,,,,,,,,,,,
